"Group1","Group2","Feature","Sample_size_G1","Sample_size_G2","Median_centile_G1","Median_centile_G2","P_lower_CI","P_upper_CI","P_uncorrected","Cohens_D","Cohens_D_lower_CI","Cohens_D_upper_CI","Mean_group_difference","P_corrected_BH_FDR","Significance"
"dHCP","MarsFet","Surface Area cm2",165,96,0.525799262897977,0.401472000495589,0.0503635432764601,0.562331624410525,0.0230468509520853,0.307753458360587,0.0547789249096569,0.560727991811517,0.311574201207325,0.0378626837069972,"*"
"dHCP","MarsFet","Folding Power",165,96,0.480737650026478,0.58172322671283,-0.608343934812534,-0.0673386204689766,0.0144415345666942,-0.402163206799308,-0.656110766668536,-0.148215646930081,-0.416382174475205,0.0255504073103051,"*"
"dHCP","MarsFet","B4 Vertex Percentage",165,96,0.578461049275731,0.238531534044291,0.557053548028297,1.15584942504782,6.48583322809277e-08,0.806540832147773,0.545607063063291,1.06747460123225,0.911265800406746,1.86467705307667e-07,"***"
"dHCP","MarsFet","B5 Vertex Percentage",165,96,0.505252070595566,0.545490439161373,-0.274085439728746,0.299950230963738,0.962702743425643,-0.0117630441604573,-0.263358173727063,0.239832085406149,-0.0128486289022516,0.962702743425643,"NS"
"dHCP","MarsFet","B6 Vertex Percentage",165,96,0.313878659742915,0.791998091123691,-1.48814061353111,-0.915244443988135,7.94339262707295e-15,-1.18662583049029,-1.45803272586886,-0.915218935111714,-1.25115215992747,6.0899343474226e-14,"***"
"dHCP","MarsFet","Band_parcels B4",165,96,0.553457005424348,0.258679916073166,0.660114967092387,1.11911348462831,6.38355585190876e-13,1.0012208359103,0.735370392881167,1.26707127893944,0.9080406945888,3.67054461484754e-12,"***"
"dHCP","MarsFet","Band Parcels B5",165,96,0.531601999957935,0.438751878045794,-0.02489448070666,0.589506052204744,0.0710713125028821,0.276256282095544,0.0235494535961939,0.528963110594894,0.310124706044402,0.108976012504419,"NS"
"dHCP","MarsFet","Band Parcels B6",165,96,0.362363916845295,0.762047157540677,-1.2456479771635,-0.631311243255735,7.6698121166716e-09,-0.831819732696926,-1.09333689825089,-0.570302567142958,-0.901323613489624,2.52008112404924e-08,"***"
"dHCP","MarsFet","Hemispheric Volume",165,96,0.460437692403691,0.505411179831628,-0.46817837068917,0.0944650226462547,0.197714192580507,-0.172004563927963,-0.424030004246261,0.0800208763903341,-0.181532743490869,0.267495672314804,"NS"
"dHCP","MarsFet","Gyrification Index",165,96,0.524103927560234,0.295800500608172,0.430627940127698,0.996237646209575,3.03304044169618e-06,0.626826119942427,0.369550635507774,0.88410160437708,0.856810288799566,6.97599301590121e-06,"***"
"dHCP","MarsFet","Hull Area",165,96,0.503273939702993,0.479953229403861,-0.277440924983831,0.2658168704135,0.945094697750599,0.0445352907518638,-0.207086821669201,0.296157403172928,0.0459127938969562,0.962702743425643,"NS"
"dHCP","MarsFet","B4 Surface Area",165,96,0.566840280637141,0.328270950236286,0.404666824362114,0.898931420708163,6.53657853781354e-07,0.720917471515178,0.461834615596495,0.980000327433862,0.637526788245618,1.67045895966346e-06,"***"
"dHCP","MarsFet","B5 Surface Area",165,96,0.514141413419917,0.449620416531722,-0.0434968611604261,0.450787854678252,0.0999327426359436,0.217850699608733,-0.0344355654168743,0.47013696463434,0.23548630638036,0.143653317539169,"NS"
"dHCP","MarsFet","B6 Surface Area",165,96,0.437028660890882,0.675625375880974,-1.01089002172687,-0.382719182395572,9.70222009769973e-06,-0.61312440281446,-0.870156780044241,-0.356092025584679,-0.680345049317859,2.02864602042813e-05,"***"
"dHCP","MarsFet","B4 Surface Area Percentage",165,96,0.582046059085697,0.286453313060154,0.364180869790709,0.978335356078755,2.63810799322256e-05,0.634258883910756,0.376849371692968,0.891668396128543,0.7158756246525,5.05637365367657e-05,"***"
"dHCP","MarsFet","B5 Surface Area Percentage",165,96,0.474095916032441,0.543596102423471,-0.440188429882943,0.113004381097287,0.26866637734965,-0.181385616045469,-0.433459454828922,0.0706882227379839,-0.194219801800438,0.343295926613442,"NS"
"dHCP","MarsFet","B6 Surface Area Percentage",165,96,0.325098582949869,0.788305487266828,-1.53182344977878,-0.964209801567241,1.5654233360322e-16,-1.26528926847687,-1.53929867069851,-0.991279866255218,-1.32184744332275,1.80023683643703e-15,"***"
"dHCP","MarsFet","B4 Band Power",165,96,0.477660992627666,0.420084407065717,-0.181471925691567,0.364200785326766,0.43160070953361,0.00247727495298458,-0.249115920648264,0.254070470554233,0.00236269163385659,0.496340815963651,"NS"
"dHCP","MarsFet","B5 Band Power",165,96,0.48252269056883,0.552953640339036,-0.407742884262736,0.117657177610192,0.318613803356605,-0.0793808365001023,-0.331066085851017,0.172304412850812,-0.0906855017179335,0.385690393536943,"NS"
"dHCP","MarsFet","B6 Band Power",165,95,0.475269648065301,0.686870842936156,-0.867656924851733,-0.45568945109112,2.83284663974622e-10,-0.817491056111578,-1.07951672639989,-0.555465385823269,-0.772392994809752,1.08592454523605e-09,"***"
"dHCP","MarsFet","B4 Band Relative Power",165,96,0.685973809836959,0.200284449101397,0.97606167249585,1.70219408250367,4.85491218966655e-12,1.03036906309956,0.763700241014248,1.29703788518487,1.50138113125571,2.23325960724661e-11,"***"
"dHCP","MarsFet","B5 Band Relative Power",165,96,0.421423705163802,0.52941783192865,-0.510189585499141,0.372560203602753,0.801956740609269,-0.0821416827715146,-0.333833451761601,0.169550086218572,-0.139509832062312,0.878333573048247,"NS"
"dHCP","MarsFet","B6 Band Relative Power",165,95,0.271373313525869,0.914708567331355,-2.47472723732552,-1.62617126088439,1.27949701889599e-21,-1.48136595706029,-1.76408879687848,-1.1986431172421,-2.2863887344498,2.94284314346078e-20,"***"
